suggested_action_id,suggested_action_name,created
practice_mindful_meditation,Practice mindful meditation,2023-04-07 06:15:08
practice_patience,Practice patience,2023-04-07 06:15:08
practice_positive_affirmations,Practice positive affirmations,2023-04-07 06:15:08
practice_self_care,Practice self-care,2023-04-07 06:15:08
practice_self_compassion,Practice self-compassion,2023-04-07 06:15:08
practice_self_forgiveness,Practice self-forgiveness,2023-04-07 06:15:08
practice_self_reflection,Practice self-reflection,2023-04-07 06:15:08
reflect_on_positive_experiences,Reflect on positive experiences,2023-04-07 06:15:08
reflect_on_your_mistakes,Reflect on your mistakes,2023-04-07 06:15:08
research_your_interests,Research your interests,2023-04-07 06:15:08
seek_clarity,Seek clarity,2023-04-07 06:15:08
seek_knowledge,Seek knowledge,2023-04-07 06:15:08
seek_professional_help,Seek professional help,2023-04-07 06:15:08
seek_support,Seek support,2023-04-07 06:15:08
seek_support_from_friends,Seek support from friends,2023-04-07 06:15:08
seek_support_from_friends_and_family,Seek support from friends and family,2023-04-07 06:15:08
seek_support_from_trusted_friends,Seek support from trusted friends,2023-04-07 06:15:08
seek_therapy,Seek therapy,2023-04-07 06:15:08
seek_therapy_for_anger_management,Seek therapy for anger management,2023-04-07 06:15:08
seek_to_understand_your_feelings,Seek to understand your feelings,2023-04-07 06:15:08
set_realistic_expectations,Set realistic expectations,2023-04-07 06:15:08
share_your_feelings,Share your feelings,2023-04-07 06:15:08
share_your_story,Share your story,2023-04-07 06:15:08
show_appreciation,Show appreciation,2023-04-07 06:15:08
spend_time_with_friends,Spend time with friends,2023-04-07 06:15:08
stay_alert,Stay alert,2023-04-07 06:15:08
surround_yourself_with_positive_people,Surround yourself with positive people,2023-04-07 06:15:08
take_a_walk_in_nature,Take a walk in nature,2023-04-07 06:15:08
talk_about_your_concerns,Talk about your concerns,2023-04-07 06:15:08
talk_to_someone_about_your_doubts,Talk to someone,2023-04-07 06:15:08
talk_to_someone_about_your_feelings,Talk to someone about your feelings,2023-04-07 06:15:08
treat_yourself,Treat yourself,2023-04-07 06:15:08
try_a_new_hobby,Try a new hobby,2023-04-07 06:15:08
try_meditation,Try meditation,2023-04-07 06:15:08
try_progressive_muscle_relaxation,Try progressive muscle relaxation,2023-04-07 06:15:08
try_yoga,Try yoga,2023-04-07 06:15:08
visit_a_place_of_worship,Visit a place of worship,2023-04-07 06:15:08
volunteer_your_time,Volunteer your time,2023-04-07 06:15:08
watch_a_funny_movie,Watch a funny movie,2023-04-07 06:15:08
write_a_thank_you_note,Write a thank you note,2023-04-07 06:15:08
